"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,74","0,01335144","3,48125","0,74","0,009218852","3,48125","0,74","0,004132589","3,48125","0,74","0,008424123","3,481125","0,74","0,005245209","3,48125","0,74","0,00778834","3,48125","0,74","0,008424123","3,48125","0,74","0,01335144","3,48125","0,74","-0,0006357829","3,48125"
"0,75","0,01255671","3,531125","0,75","0,01049042","3,53125","0,75","0,004132589","3,53125","0,75","0,007629395","3,53125","0,75","0,003814697","3,531125","0,75","0,004927317","3,531125","0,75","0,009377797","3,531125","0,75","0,009218852","3,53125","0,75","0,004609426","3,53125"
"0,76","0,01001358","3,581375","0,76","0,01017253","3,58125","0,76","0,004132589","3,58125","0,76","0,00333786","3,581375","0,76","0,001748403","3,58125","0,76","0,002066294","3,581375","0,76","0,00778834","3,58125","0,76","0,005245209","3,58125","0,76","0,01080831","3,581375"
"0,77","0,008106232","3,631125","0,77","0,00778834","3,631125","0,77","0,0001589457","3,63125","0,77","0,001430511","3,631125","0,77","0","3,631125","0,77","0,002861023","3,631125","0,77","0,005245209","3,631125","0,77","0,001430511","3,63125","0,77","0,01128515","3,63125"
"0,78","0,006516775","3,68125","0,78","0,007629395","3,681375","0,78","0,0004768372","3,68125","0,78","0,0004768372","3,68125","0,78","-0,0007947286","3,68125","0,78","0,00445048","3,68125","0,78","0,004609426","3,68125","0,78","-0,001589457","3,68125","0,78","0,00778834","3,68125"
"0,79","0,005722046","3,73125","0,79","0,008583069","3,73125","0,79","0,003814697","3,73125","0,79","-0,001589457","3,731125","0,79","-0,0006357829","3,73125","0,79","0,003655751","3,73125","0,79","0,00445048","3,73125","0,79","-0,0007947286","3,73125","0,79","0,006039937","3,73125"
"0,8","0,006993612","3,78125","0,8","0,00890096","3,78125","0,8","0,003019969","3,78125","0,8","-0,00111262","3,78125","0,8","0","3,78125","0,8","0,003019969","3,78125","0,8","0,00333786","3,78125","0,8","0,001748403","3,78125","0,8","0,004609426","3,78125"
"0,81","0,008583069","3,83125","0,81","0,008583069","3,83125","0,81","0,00222524","3,83125","0,81","0,002066294","3,83125","0,81","0,0001589457","3,83125","0,81","0,003655751","3,83125","0,81","0,003655751","3,83125","0,81","0,002066294","3,83125","0,81","0,00222524","3,83125"
"0,82","0,008583069","3,88125","0,82","0,007629395","3,881125","0,82","0,004132589","3,881125","0,82","0,003814697","3,881125","0,82","0,0001589457","3,881125","0,82","0,003019969","3,881125","0,82","0,004609426","3,881125","0,82","0,001748403","3,881125","0,82","0,001430511","3,881125"
"0,83","0,00778834","3,93125","0,83","0,006993612","3,93125","0,83","0,00222524","3,93125","0,83","0,00445048","3,93125","0,83","0,001271566","3,931125","0,83","0,003019969","3,93125","0,83","0,004927317","3,931125","0,83","0,00333786","3,93125","0,83","0,002543132","3,93125"
"0,84","0,00778834","3,98125","0,84","0,008106232","3,98125","0,84","0,001271566","3,98125","0,84","0,003655751","3,98125","0,84","0,001430511","3,98125","0,84","0,004609426","3,98125","0,84","0,005722046","3,98125","0,84","0,004609426","3,98125","0,84","0,003655751","3,98125"
"0,85","0,008583069","4,031125","0,85","0,006993612","4,031","0,85","0,005404154","4,031125","0,85","0,002066294","4,031125","0,85","0,0006357829","4,031125","0,85","0,006516775","4,031125","0,85","0,00778834","4,031125","0,85","0,004609426","4,031125","0,85","0,006198883","4,031125"
"0,86","0,009218852","4,08125","0,86","0,003655751","4,08125","0,86","0,005404154","4,081125","0,86","0,00333786","4,081125","0,86","0,0004768372","4,08125","0,86","0,008424123","4,081125","0,86","0,009695689","4,08125","0,86","0,005722046","4,08125","0,86","0,009218852","4,081125"
"0,87","0,00890096","4,13125","0,87","0,00222524","4,13125","0,87","0,002861023","4,13125","0,87","0,005722046","4,13125","0,87","0,0001589457","4,13125","0,87","0,009377797","4,13125","0,87","0,01001358","4,13125","0,87","0,005722046","4,13125","0,87","0,006834666","4,13125"
"0,88","0,00890096","4,18125","0,88","0,004609426","4,18125","0,88","0,006198883","4,18125","0,88","0,004132589","4,18125","0,88","-0,0003178914","4,18125","0,88","0,008583069","4,18125","0,88","0,009695689","4,18125","0,88","0,003019969","4,18125","0,88","0,001430511","4,181125"
"0,89","0,01096725","4,231125","0,89","0,006516775","4,231125","0,89","0,008106232","4,23125","0,89","0,002861023","4,231125","0,89","0,0004768372","4,231125","0,89","0,006198883","4,23125","0,89","0,00890096","4,231","0,89","0,0004768372","4,231125","0,89","0,0006357829","4,231125"
