sealant,liner,side,liner_label,side_label,file,n_replicates,mean_release_cN_25mm_mean,mean_release_cN_25mm_std,mean_release_cN_25mm_median,noise_std_cN_25mm_median,noise_std_cN_25mm_max,noise_max_abs_cN_25mm_median,noise_max_abs_cN_25mm_max,peaks_0.5cN_mean,peaks_0.5cN_median,peaks_0.5cN_sum,peaks_0.5cN_std,peaks_1cN_mean,peaks_1cN_median,peaks_1cN_sum,peaks_1cN_std,peaks_1.4cN_mean,peaks_1.4cN_median,peaks_1.4cN_sum,peaks_1.4cN_std,peaks_2cN_mean,peaks_2cN_median,peaks_2cN_sum,peaks_2cN_std,peaks_3cN_mean,peaks_3cN_median,peaks_3cN_sum,peaks_3cN_std
T2EN,crosil42,internal,Crosil 42,inner,20250523_T2EN_crosil42_internal.csv,10,8.555915075775193,0.45273914304676505,8.647428800324459,0.06831561316728443,0.12915563545425687,0.16184457161750654,0.27936337365589176,10.4,3.5,104,12.473972903610141,1.5,0.0,15,2.4608038433722332,0.2,0.0,2,0.4216370213557839,0.1,0.0,1,0.31622776601683794,0.1,0.0,1,0.31622776601683794
T2EN,dolpap,external,Dolpap,outer,20250521_T2EN_dolpap_external.csv,10,7.6205010351149385,0.9020624344627973,7.562642207568568,0.0645105746701575,0.08868755952726175,0.14321565882318454,0.3339150637428466,10.4,2.5,104,15.55063414212495,4.0,0.5,40,7.930251502246879,1.3,0.0,13,2.263232692902394,0.6,0.0,6,1.07496769977314,0.0,0.0,0,0.0
T2EN,dolpap,internal,Dolpap,inner,20250521_T2EN_dolpap_internal.csv,9,7.247926458474958,0.5315533341296942,7.1454104881807385,0.055473854253208,0.10701527438718289,0.14008934886459606,0.3179479870039951,11.0,3.0,99,18.472953201911167,4.111111111111111,0.0,37,8.623288880184353,1.8888888888888888,0.0,17,4.960958688712406,1.0,0.0,9,2.345207879911715,0.3333333333333333,0.0,3,0.7071067811865476
T2EN,rossella,external,Rossella,outer,20250523_T2EN_rossella_external.csv,10,11.644242477654407,0.6477622384799809,11.589960016778942,0.06761213601421776,0.07523326214673083,0.16861571928900532,0.19939378339055208,7.4,7.0,74,6.003702561290361,0.4,0.0,4,0.6992058987801011,0.1,0.0,1,0.31622776601683794,0.0,0.0,0,0.0,0.0,0.0,0,0.0
T2EN,rossella,internal,Rossella,inner,20250523_T2EN_rossella_internal.csv,10,12.869017410422998,2.128809267367473,12.050148124158344,0.07146588916479395,0.08475066550279553,0.17878580872929212,0.23087073934176922,27.7,24.0,277,20.30900183552987,12.6,2.5,126,19.219203359603064,9.3,2.0,93,17.192052427405713,6.7,0.0,67,15.224614572753193,4.5,0.0,45,12.501111061732782
U2E,crosil42,external,Crosil 42,outer,20250528_U2E_crosil42_external.csv,10,17.82765478664762,15.557672194959007,11.37184972239064,0.07456287340458956,0.11928638241259715,0.189125442151432,0.3314252940200719,71.4,73.5,714,10.156552345927016,48.6,43.5,486,12.267391282945567,37.3,31.5,373,17.981780903026387,28.5,25.5,285,20.006943239230168,19.6,11.5,196,19.872929661560555
U2E,crosil42,internal,Crosil 42,inner,20250523_U2E_crosil42_internal.csv,10,11.608841530290041,1.4330983519166733,11.057868898275288,0.06343039483932467,0.0909773347755612,0.17876899272413138,0.247685703436741,26.9,32.5,269,15.961411800547804,10.8,12.0,108,8.727988186161676,6.5,5.5,65,7.8351061823621055,4.0,0.0,40,7.571877794400365,3.4,0.0,34,7.411702458499891
U2E,dolpap,external,Dolpap,outer,20250602_U2E_dolpap_external.csv,10,8.38046054230761,1.3872911240947692,7.62263800044612,0.05804795477618885,0.10972650623007982,0.14844247611166322,0.24802431898566488,18.0,9.0,180,22.085691697969928,9.1,1.5,91,14.992220204715068,6.9,1.0,69,11.883228143526956,4.8,0.0,48,9.114091653405,2.4,0.0,24,5.037636129950016
U2E,dolpap,internal,Dolpap,inner,20250602_U2E_dolpap_internal.csv,10,7.926336535221087,0.7288807784802978,7.757181213883794,0.05996351793113268,0.11256295251817726,0.14593006906023762,0.2397576243153481,1.2,0.0,12,2.780887148615228,0.1,0.0,1,0.31622776601683794,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
U2E,rossella,external,Rossella,outer,20250602_U2E_rossella_external.csv,10,238.44088372088405,73.87132584971219,249.5112477519275,0.05896659600922301,0.07331348636987225,0.15123195445724197,0.24471623176235044,42.6,37.0,426,14.222048610051461,42.5,36.5,425,14.261447643520937,42.3,36.5,423,13.8728351664523,42.0,36.5,420,13.39983416149452,41.5,36.5,415,12.9378857967169
